Team,Date,Opponent,FIFA Rank at Time,Result (W/L/D),Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
Belgium,10/10/2024,Italy,12,D,12,4,2,8,4,2
Belgium,09/09/2024,France,1,L,9,4,0,25,9,2
Belgium,06/09/2024,Israel,77,W,25,8,3,10,2,1
Belgium,01/07/2024,France,1,L,5,2,0,18,2,1
Belgium,26/06/2024,Ukraine,32,D,12,4,0,13,4,0
Belgium,22/06/2024,Romania,56,W,20,9,2,14,5,0
Bosnia Herzegovina,31/03/2026,Italy,12,D,30,11,1,9,3,1
Bosnia Herzegovina,26/03/2026,Wales,37,D,14,5,1,19,3,1
Bosnia Herzegovina,18/11/2025,Austria,25,D,8,1,1,10,3,1
Bosnia Herzegovina,15/11/2025,Romania,55,W,16,4,3,9,3,1
Bosnia Herzegovina,09/10/2025,Cyprus,128,D,14,6,2,14,3,2
Bosnia Herzegovina,09/09/2025,Austria,25,L,16,3,1,11,5,2
Bosnia Herzegovina,06/09/2025,San Marino,211,W,22,10,6,4,1,0
Bosnia Herzegovina,07/06/2025,San Marino,211,W,21,6,1,5,0,0
Bosnia Herzegovina,03/06/2025,Northern Ireland,71,D,10,5,1,9,3,1
Bosnia Herzegovina,24/03/2025,Cyprus,128,W,14,6,2,11,4,1
Bosnia Herzegovina,21/03/2025,Romania,55,W,5,1,1,15,3,0
Bosnia Herzegovina,19/11/2024,Netherlands,6,D,8,3,1,12,2,1
Bosnia Herzegovina,16/11/2024,Germany,10,L,7,3,0,23,13,7
Bosnia Herzegovina,14/10/2024,Hungary,42,L,12,3,0,12,5,2
Bosnia Herzegovina,11/10/2024,Germany,10,L,8,1,1,12,4,2
Bosnia Herzegovina,10/09/2024,Hungary,42,D,7,2,0,20,5,0
Bosnia Herzegovina,07/09/2024,Netherlands,6,L,4,3,2,28,9,5
Brazil,31/03/2026,Croatia,11,W,13,7,3,12,3,1
Brazil,26/03/2026,France,1,L,17,4,1,7,3,2
Brazil,18/11/2025,Tunisia,44,D,21,3,1,7,2,1
Brazil,15/11/2025,Senegal,14,W,14,6,2,11,1,0
Brazil,14/10/2025,Japan,18,L,9,4,2,15,6,3
Brazil,10/10/2025,South Korea,25,W,14,7,5,4,1,0
Brazil,09/09/2025,Bolivia,76,L,10,3,0,23,10,1
Brazil,04/09/2025,Chile,54,W,22,7,3,3,0,0
